Sno,Name,Contact Number,Fax,Address,Opening Hours,Link
154,AGLOW BABY & CHILD SPECIALIST CLINIC,62599554,66941746,101 THOMSON ROAD                                                                    UNITED SQUARE                                                                                          #02-09 Singapore 307591,Monday to Friday : 09:00 am to 05:00 pmThursday and Saturday : 09:00 am to 01:00 pm,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=2380
155,AIA ALEXANDRA CLINIC,62742114,66941746,371 ALEXANDRA ROAD                                                                    AIA ALEXANDRA                                                                                          #01-03 Singapore 159963,Chinese New Year (Eve) (27/01/2017) : 08:30 am to 12:00 pmChinese New Year (28/01/2017) :  ClosedChinese New Year (29/01/2017) :  ClosedChinese New Year (Monday) (30/01/2017) :  Closed,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=43770
156,AIDAN MEDICAL CLINIC,69707820,66941746,BLK 539 BEDOK NORTH STREET 3                              #01-623 Singapore 460539,"Public Holiday :  ClosedMonday to Friday : 09:00 am to 01:00 pm, 02:00 pm to 05:30 pmSaturday : 09:00 am to 01:00 pmSunday :  Closed",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=47174
157,AJ WARREN DENTAL CLINIC,62501375,66941746,BLK 218 PASIR PANJANG ROAD                                                                    ICON @ PASIR PANJANG                                                                                          #02-11 Singapore 118579,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=46603
158,ALAXIS MEDICAL & AESTHETIC SURGERY,62350880,66941746,360 Orchard Road                                                                    International Building                                                                                          #04-02 Singapore 238869,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=2410
159,ALAXIS MEDICAL & AESTHETIC SURGERY,62350880,66941746,360 ORCHARD ROAD                                                                    INTERNATIONAL BUILDING                                                                                          #04-05 Singapore 238869,"Monday to Saturday : 09:30 am to 04:00 pm, 06:00 pm to 07:30 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=33511
160,ALDA DENTAL SURGERY,64757113,66941746,BLK 48 TANGLIN HALT ROAD                              #01-337 Singapore 142048,"Monday and Thursday : 06:30 pm to 08:30 pmMonday to Friday : 08:30 am to 12:30 pm, 02:30 pm to 05:00 pmSaturday : 08:30 am to 12:30 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=2440
161,ALDA DENTAL SURGERY(BEDOK),64456038,64456038,BLK 158 BEDOK SOUTH AVENUE 3                              #01-589 Singapore 460158,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=46687
162,ALEX FOK ENDOCRINE PRACTICE,67346116,64456038,3 MT ELIZABETH                                                                    MOUNT ELIZABETH MEDICAL CENTRE                                                                                          #07-07 Singapore 228510,Monday to Friday : 09:00 am to 05:00 pm,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=2450
163,ALEX OOI & ASSOCIATES OBGYN CONSULTANTS,67388331,64456038,1 FARRER PARK STATION ROAD                                                                    CONNEXION                                                                                          #12-05 Singapore 217562,Monday to Friday : 09:00 am to 05:00 pm,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=2460
164,ALEXANDRA FAMILY CLINIC & SURGERY,64797022,64456038,BLK 57 DAWSON ROAD                              #02-02 Singapore 142057,"Monday to Wednesday : 08:00 am to 03:00 pm, 06:00 pm to 09:00 pmThursday : 08:00 am to 03:00 pmFriday : 08:00 am to 03:00 pm, 06:00 pm to 09:00 pmSaturday to Sunday : 08:00 am to 01:00 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=2470
165,ALEXIUS CHEE GASTROENTEROLOGY & MEDICAL CLINIC,67343343,64456038,3 Mount Elizabeth                                                                    Mount Elizabeth Medical Centre                                                                                          #05-09 Singapore 228510,Monday to Friday : 09:00 am to 04:30 pm,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=2480
166,ALFRED CHENG CARDIAC CARE,67357735,64456038,3 Mount Elizabeth                                                                    Mount Elizabeth Medical Centre                                                                                          #15-15 Singapore 228510,"Monday to Friday : 08:30 am to 01:00 pm, 02:00 pm to 05:30 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=31740
167,ALFRED CHENG ORTHODONTIC CLINIC,67355635,64456038,3 MT ELIZABETH                                                                    MOUNT ELIZABETH MEDICAL CENTRE                                                                                          #03-03 Singapore 228510,"Monday to Friday : 08:30 am to 12:30 pm, 01:30 pm to 05:30 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=2500
168,ALIGN BRACES CLINIC,65130686,64456038,68 ORCHARD ROAD                                                                    PLAZA SINGAPURA                                                                                          #04-33 Singapore 238839,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=46878
169,ALIVEOMEDICAL,62557336,64456038,820 THOMSON ROAD                                                                    MOUNT ALVERNIA MEDICAL CENTRE BLOCK A                                                                                          #06-01 Singapore 574623,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=46976
170,ALIVEOMEDICAL,62356136,64456038,3 MOUNT ELIZABETH                                                                    MOUNT ELIZABETH HOSPITAL                                                                                          #10-07 Singapore 228510,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=47002
171,ALIVEOMEDICAL,62688360,62688310,38 IRRAWADDY ROAD                                                                    MOUNT ELIZABETH NOVENA SPECIALIST CENTRE                                                                                          #9-44 Singapore 329563,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=47003
172,ALJUNIED DENTAL SURGERY PTE LTD,64785838,62688310,BLK 119 ALJUNIED AVE 2                              #01-70 Singapore 380119,"Monday to Friday : 09:00 am to 12:30 pm, 02:00 pm to 04:30 pmThursday :  ClosedSaturday : 09:00 am to 12:30 pmSunday : 09:00 am to 12:00 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=2520
173,ALL DERMA MEDICAL CLINIC,62380979,62688310,360 ORCHARD ROAD                                                                    INTERNATIONAL BUILDING                                                                                          #03-14 Singapore 238869,Chinese New Year (Eve) (27/01/2017) : 08:30 am to 06:30 pmChinese New Year (28/01/2017) :  ClosedChinese New Year (29/01/2017) :  ClosedChinese New Year (Monday) (30/01/2017) :  Closed,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=44856
174,"ALLERGY, ARTHRITIS & RHEUMATISM CLINIC",64749438,62688310,6 Napier Road                                                                    Gleneagles Medical Centre                                                                                          #09-02/03 Singapore 258499,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=32840
175,"ALLERGY, ARTHRITIS & RHEUMATISM CLINIC",66362945,62688310,1 FARRER PARK STATION ROAD                                                                    CONNEXION                                                                                          #14-13 Singapore 217562,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=44697
176,ALLHEALTH FAMILY CLINIC,67026467,62688310,BLK 872C TAMPINES STREET 86                              #01-01 Singapore 523872,"Public Holiday :  ClosedEve of Chinese New Year (24/01/2020) : 09:00 am to 02:00 pmMonday to Thursday : 09:00 am to 02:00 pm, 06:00 pm to 09:00 pmFriday to Saturday : 09:00 am to 02:00 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=45946
177,ALLIANCE CLINIC AND PARTNERS PTE LTD,68469585,62688310,BLK 652 JALAN TENAGA                              #01-50 Singapore 410652,"Chinese New Year (Eve) (27/01/2017) : 08:30 am to 12:30 pmChinese New Year (28/01/2017) :  ClosedChinese New Year (29/01/2017) :  ClosedChinese New Year (Monday) (30/01/2017) :  ClosedMonday to Thursday : 08:30 am to 12:30 pm, 02:00 pm to 04:30 pm, 07:00 pm to 09:00 pmFriday to Friday : 08:30 pm to 12:30 pm, 02:00 pm to 04:30 pmSaturday and Sunday : 08:30 am to 12:30 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=34050
178,ALLSMILES DENTAL CARE PLUS,68996828,62688310,BLK 502 JURONG WEST AVENUE 1                              #01-805 Singapore 640502,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=45008
179,ALLSMILES DENTAL CARE PTE LTD,65692988,62688310,BLK 502 JURONG WEST AVENUE 1                              #01-817 Singapore 640502,Public Holiday : 09:00 am to 01:00 pmMonday to Friday : 09:00 am to 09:00 pmSaturday and Sunday : 09:00 am to 01:00 pm,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=33981
180,ALLSMILES DENTAL CARE PUNGGOL PTE. LTD.,67879166,62688310,BLK 681 PUNGGOL DRIVE                              #03-10 Singapore 820681,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=46541
181,ALLURE PLASTIC SURGERY,67349988,67349988,435 ORCHARD ROAD                                                                    WISMA ATRIA                                                                                          #22-04 Singapore 238877,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=45824
182,ALLY HEALTH,66977700,67349988,BLK 46-2 COMMONWEALTH DRIVE                              #01-372 Singapore 140462,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=47101
183,ALOHA DENTAL PTE LTD,67332268,67349988,14 SCOTTS ROAD                                                                    FAR EAST PLAZA                                                                                          #04-125/126 Singapore 228213,Monday to Saturday : 09:00 am to 06:00 pm,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=44472
184,ALPHA DENTAL GROUP,62248003,67349988,8 SHENTON WAY                                                                    AXA TOWER                                                                                          #01-19 Singapore 068811,Monday to Friday : 08:00 am to 07:00 pm,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=2580
185,ALPHA IVF CENTRE ALPHA WOMEN'S SPECIALISTS,68608888,67349988,101 IRRAWADDY ROAD                                                                    ROYAL SQUARE AT NOVENA                                                                                           #12-07 to 14 Singapore 329565,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=47022
186,ALPHA JOINTS & ORTHOPAEDICS PTE LTD,64792488,67349988,290 ORCHARD ROAD                                                                    THE PARAGON                                                                                          #15-12 Singapore 238859,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=47032
187,ALPHA JOINTS & ORTHOPAEDICS PTE. LTD.,64792488,67349988,6 NAPIER ROAD                                                                    GLENEAGLES MEDICAL CENTRE                                                                                          #02-20 Singapore 258499,"Monday to Friday : 09:00 am to 12:30 pm, 02:00 pm to 05:00 pmSaturday : 09:00 am to 01:00 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=41520
188,ALPHA WOMEN'S SPECIALISTS,68608888,67349988,101 IRRAWADDY ROAD                                                                    Royal Square @ Novena                                                                                          #12-12 Singapore 329565,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=47100
189,ALVIN HONG NEUROSURGERY,67338803,67349988,3 Mount Elizabeth                                                                    Mount Elizabeth Medical Centre                                                                                          #14-14 Singapore 228510,Monday to Friday : 09:00 am to 05:00 pmSaturday : 09:00 am to 12:00 pm,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=36540
190,AMANDELA ENT HEAD & NECK CENTRE,66941990,67349988,38 IRRAWADDY ROAD                                                                    Mount Elizabeth Novena Specialist Centre                                                                                          #10-45/46/47 Singapore 329563,Monday to Friday : 08:30 am to 05:30 pmSaturday : 08:30 am to 01:00 pm,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=42012
191,AMARIS B CLINIC,65364211,65364300,140 ARAB STREET                               Singapore 199827,Eve of Chinese New Year (24/01/2020) : 09:00 am to 01:30 pmMonday to Friday : 09:30 am to 07:00 pmSaturday : 09:30 am to 01:00 pmSunday and Public Holiday :  Closed,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=38640
192,AMBULATORY SURGICARE (ASC),63976979,65364300,10 Sinaran Drive                                                                    Novena Medical Center                                                                                          #09-01 Singapore 307506,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=37580
193,AMDA INTERNATIONAL PEACE CLINIC,66941661,65364300,9 TAMAN SERASI                                                                    BOTANIC GARDENS VIEW                                                                                          #01-11 Singapore 257720,Eve of Lunar New Year (04/02/2019) : 08:30 am to 12:30 pm,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=45418
194,AMERICAN INTERNATIONAL CLINIC PTE LTD,63977129,65364300,10 SINARAN DRIVE                                                                    NOVENA MEDICAL CENTER                                                                                          #10-09/10 Singapore 307506,Monday to Friday : 09:00 am to 05:00 pmSaturday : 09:00 am to 01:00 pm,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=35720
195,AMICAL DENTAL SURGERY,67866286,65364300,BLK 827 Tampines Street 81                              #01-132 Singapore 520827,Monday to Monday : 09:30 am to 08:30 pmTuesday and Friday : 09:30 am to 05:00 pmWednesday and Thursday : 09:30 am to 08:30 pmSaturday and Public Holiday :  ClosedSunday to Sunday : 09:30 am to 01:00 pm,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=2670
196,AMITY MEDICAL CLINIC & DENTAL SURGERY,65609292,65364300,BLK 371 BT BATOK ST 31                              #01-314 Singapore 650371,"Public Holiday :  ClosedMonday to Friday : 08:30 am to 12:30 pm, 02:30 pm to 04:30 pmSaturday to Sunday : 08:30 am to 12:30 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=2690
197,AMK CENTRAL DENTAL SURGERY,64557930,65364300,BLK 726 ANG MO KIO AVE 6                              #01-4162 Singapore 560726,"Monday to Friday : 09:00 am to 12:30 pm, 02:00 pm to 04:30 pmWednesday : 09:00 am to 12:30 pmSaturday and Sunday : 09:00 am to 12:30 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=2700
198,AMK FAMILY CLINIC PTE LTD,64544204,65364300,51 ANG MO KIO AVE 3                                                                    NO 51 @ AMK                                                                                          #01-01 Singapore 569922,"Eve of Chinese New Year (24/01/2020) : 09:30 am to 03:00 pmChinese New Year (25/01/2020) : 06:30 pm to 10:00 pmChinese New Year (26/01/2020) : 06:30 pm to 10:00 pmChinese New Year (27/01/2020) : 06:30 pm to 10:00 pmMonday and Monday : 09:20 am to 03:00 pm, 06:00 pm to 10:00 pmTuesday to Wednesday : 09:20 am to 02:00 pm, 06:30 pm to 10:00 pmThursday to Thursday : 09:10 am to 02:00 pm, 07:00 pm to 10:00 pmFriday to Friday : 09:00 am to 03:00 pm, 07:00 pm to 10:00 pmSaturday to Saturday : 09:10 am to 12:00 pm, 02:00 pm to 05:00 pm, 06:10 pm to 09:10 pmSunday : 02:00 pm to 07:00 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=2710
199,AMK SPECIALIST CENTRE,65546500,65364300,BLK 723 ANG MO KIO AVENUE 8                                                                    AMK SPECIALIST CENTRE                                                                                          #1 & 2-NA Singapore 560723,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=47078
200,AMOY STREET DENTAL,62220553,65364300,40 AMOY STREET                               Singapore 069866,Monday and Wednesday : 08:45 am to 06:30 pmTuesday and Thursday : 08:45 am to 08:30 pmFriday : 08:45 am to 06:30 pmSaturday : 09:00 am to 01:00 pm,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=42465
201,AMPM FAMILY CLINIC & SURGERY PTE. LTD.,62530917,62599051,BLK 123 TOA PAYOH LOR 1                              #01-521 Singapore 310123,"Monday to Friday : 08:00 am to 02:00 pm, 06:00 pm to 10:00 pmSaturday and Sunday : 08:00 am to 01:00 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=2720
202,AN DENTAL,N/A,62599051,360 ORCHARD ROAD                                                                    INTERNATIONAL BUILDING                                                                                          #03-06/07 Singapore 238869,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=47114
203,ANAESTHESIA & ANALGESIA PAIN MANAGEMENT CENTRE,64711939,62599051,6A Napier Road                                                                    Gleneagles Annexe Block                                                                                          #05-36A Singapore 258500,Monday to Friday : 08:30 am to 05:00 pm,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=2730
204,ANDERS DEVELOPMENTAL CLINIC,68363720,62599051,290 ORCHARD ROAD                                                                    PARAGON                                                                                          #13-07 Singapore 238859,"Monday to Friday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pm",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=36031
205,ANDERSON MEDICAL CENTRE,64599195,62599051,BLK 283 BISHAN ST 22                              #01-173 Singapore 570283,"Chinese New Year (Eve) (27/01/2017) : 09:00 am to 12:30 pmChinese New Year (28/01/2017) :  ClosedChinese New Year (29/01/2017) :  ClosedChinese New Year (Monday) (30/01/2017) :  ClosedMonday and Thursday : 09:00 am to 12:30 pm, 02:30 pm to 04:00 pm, 07:00 pm to 09:00 pmTuesday and Friday : 09:00 am to 12:30 pm, 02:30 pm to 04:30 pmWednesday and Saturday : 09:00 am to 12:30 pmSunday and Public Holiday :  Closed",http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=2740
206,"ANDREA'S DIGESTIVE, COLON, LIVER AND GALLBLADDER CLINIC PTE LTD",68362776,62599051,101 IRRAWADDY ROAD                                                                    ROYAL SQUARE AT NOVENA                                                                                          #21-11/12 Singapore 329565,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=37970
207,ANDREW LEE BREAST CLINIC,69096488,62599051,6 NAPIER ROAD                                                                    GLENEAGLES MEDICAL CENTRE                                                                                          #09-13 Singapore 258499,Monday to Friday : 09:00 am to 05:00 pmSaturday : 09:00 am to 01:00 pm,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=46479
208,"ANDREW SEE SURGERY HEAD & NECK, THYROID AND GENERAL SURGERY",64740100,62599051,6 NAPIER RD                                                                    GLENEAGLES MEDICAL CENTRE                                                                                          #05-14 Singapore 258499,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=2750
209,"ANDROLOGY, UROLOGY & CONTINENCE CENTRE",64720688,62599051,"6A NAPIER ROAD                                                                    GLENEAGLES HOSPITAL, ANNEXE BLOCK                                                                                          #05-36B/36D Singapore 258500",Monday to Friday : 08:30 am to 05:00 pmSaturday : 08:30 am to 12:30 pm,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=2760
210,ANEW AEROMEDICAL N EMOTIONAL WELLNESS CENTRE,62562839,62599051,101 IRRAWADDY ROAD                                                                    ROYAL SQUARE AT NOVENA                                                                                          #21-03 Singapore 329565,Please call the clinic for operating hours,http://hcidirectory.sg/hcidirectory/clinic.do?JSESSIONID=mLKQpQHYV6jSJQGg0hWGQBtjPSJtLBtCb3p7vs12XMGx7dNdn0TL!-774379965!284555834&task=view&toBack=search&pkId=46513
