Sno,Name,Address
290,HEALTHMARK FAMILY CLINIC (COMPASSVALE),"263 Compassvale Street, #01-02/03, S540263"
291,HEALTHMARK FAMILY MEDICINE CLINIC,"601 Choa Chu Kang St 62, #01-09, S680601"
292,HEALTHMARK MEDICAL CLINIC,"639 Punggol Drive, #01-06, S820639"
293,HEALTHMARK PIONEER MALL CLINIC,"638 Jurong West Street 61, #02-08, Pioneer Mall, S640638"
294,HEALTHMATTERS - THE FAMILY PRACTICE,"1 Pasir Ris Close, #02-309/310, Downtown East, S519599"
295,HEALTHMED FAMILY CLINIC (BUKIT PANJANG),"416 Saujana Road, #01-50, S670416"
296,HEALTHPLUS CLINIC & SURGERY,"631 Bedok Reservoir Road, #01-898, S470631"
297,HEALTHPLUS FAMILY CLINIC & SURGERY,"78A Telok Blangah St 32, #01-02, S101078"
298,HEALTHPOINT FAMILY CLINIC & SURGERY PTE LTD,"48 Tanglin Halt Rd, #01-337, S142048"
299,HEALTHSPRINGS MEDICAL ASSOCIATES,"541 Orchard Rd, #10-02, S238881"
300,HEALTHSPRINGS MEDICAL CLINIC,"524A Jelapang Road, #02-01/02, Greenridge Shopping Centre, S671524"
301,HEALTHWAY MEDICAL,"6A Shenton Way, #02-15, Downtown Gallery, S068815"
302,HEALTHWAY MEDICAL,"443 Clementi Avenue 3, #01-63, S120443"
303,HEALTHWAY MEDICAL,"727 Clementi West Street 2, #01-258, S120727"
304,HEALTHWAY MEDICAL,"705 Serangoon Road, #01-06, Kwong Wai Shiu Hospital, S328127"
305,HEALTHWAY MEDICAL,"110 Lengkong Tiga, #01-231, S410110"
306,HEALTHWAY MEDICAL,"503 Tampines Central 1, #01-311, S520503"
307,HEALTHWAY MEDICAL,"710 Tampines St 71, #01-134, S520710"
308,HEALTHWAY MEDICAL,"108 Hougang Ave 1, #01-1299, S530108"
309,HEALTHWAY MEDICAL,"90 Hougang Avenue 10, #04-06, Hougang Mall, S538766"
310,HEALTHWAY MEDICAL,"267 Compassvale Link, #01-04, S540267"
311,HEALTHWAY MEDICAL,"308 Anchorvale Road, #01-03, Multi Storey Car Park, S540308"
312,HEALTHWAY MEDICAL,"330 Ang Mo Kio Ave 1, #01-1803, S560330"
313,HEALTHWAY MEDICAL,"452 Ang Mo Kio Ave 10, #01-1787, S560452"
314,HEALTHWAY MEDICAL,"690 Jurong West Central 1, #01-193, S640690"
315,HEALTHWAY MEDICAL,"153 Bukit Batok St 11, #01-284, S650153"
316,HEALTHWAY MEDICAL,"446 Bukit Batok West Avenue 8, #01-03, S650446"
317,HEALTHWAY MEDICAL,"717 Woodlands Drive 70, #01-114, S730717"
318,HEALTHWAY MEDICAL,"30 Sembawang Drive, #03-20, Sun Plaza, S757713"
319,HEALTHWAY MEDICAL,"461 Yishun Avenue 6, #01-05, S760461"
320,HEALTHWAY MEDICAL,"168 Punggol Field, #02-07A, S820168"
321,HEALTHWAY MEDICAL,"10 Sinaran Drive, #09-36, Novena Medical Center, S307506"
322,HEALTHWAY MEDICAL,"177 Toa Payoh Central, #01-130, S310177"
323,HEALTHWAY MEDICAL,"101 Towner Road, #01-236, S322101"
324,HEALTHWAY MEDICAL,"218 Bedok North St 1, #01-17, S460218"
325,HEALTHWAY MEDICAL,"625 Elias Rd, #01-322, Elias Mall, S510625"
326,HEALTHWAY MEDICAL,"201D Tampines Street 21, #01-1143, S524201"
327,HEALTHWAY MEDICAL,"118 Rivervale Drive, #02-17, Rivervale Plaza, S540118"
328,HEALTHWAY MEDICAL,"721 Ang Mo Kio Ave 8, #01-2801, S560721"
329,HEALTHWAY MEDICAL,"960 Jurong West St 92, #01-166, S640960"
330,HEALTHWAY MEDICAL,"445 Fajar Road, #02-534, Fajar Shopping Centre, S670445"
331,HEALTHWAY MEDICAL,"475 Choa Chu Kang Ave 3, #02-03, Sunshine Place, S680475"
332,HEALTHWAY MEDICAL,"888 Woodlands Dr 50, #02-737, 888 Plaza, S730888"
333,HEALTHWAY MEDICAL,"417 Yishun Ave 11, #01-321, S760417"
334,HEALTHWAY MEDICAL CLINIC,"3 Gateway Drive, #04-32, Westgate, S608532"
335,HEALTHWAY MEDICAL CLINIC,"534 Choa Chu Kang St 51, #01-37, Limbang Shopping Centre, S680534"
336,HEALTHWAY MEDICAL CLINIC,"748 Yishun Street 72, #01-230, S760748"
337,HEALTHWAY MEDICAL CLINIC,"101 Yishun Avenue 5, #01-15, S760101"
338,HEALTHWERKZ MEDICAL CENTRE,"355 Sembawang Way, #01-02, S750355"
339,HEALTHWERKZ MEDICAL CENTRE (CCK),"225 Choa Chu Kang Central, #01-199, S680225"
340,HEALTHWISE MEDICAL CLINIC & SURGERY,"41 Jalan Tiga, #01-07, S390041"
341,HEARTLAND FAMILY CLINIC,"333C Yishun Street 31, #01-167, S763333"
342,HEARTLAND HEALTH,"59 New Upper Changi Road, #01-1268, S461059"
343,HEARTLANDHEALTH,"114 Jurong East Street 13, #01-406, S600114"
344,HEARTLANDHEALTH,"66 Lorong 4 Toa Payoh, #01-315, S310066"
345,HEARTLANDHEALTH,"164 Bukit Batok Street 11, #01-152, S650164"
346,HEARTLANDHEALTH,"463 Jurong West Street 41, #01-564, S640463"
347,HEARTLANDHEALTH,"19 Lorong 7 Toa Payoh, #01-272, S310019"
348,HEARTLANDHEALTH,"88 Curcuit Road, #01-965, S370088"
349,HEARTLANDHEALTH,"730 Tampines Street 71, #01-51, S520730"
350,HEARTLANDHEALTH,"86 Redhill Close, #01-600, S150086"
351,HEARTLANDHEALTH,"18 Bedok South Road, #01-69, S460018"
352,HILL SPRING MEDICAL,"12 Jalan Leban, Sembawang Hills Estate, S577552"
353,HISEMAINN MEDICAL CLINIC (BUKIT BATOK),"289E Bukit Batok St 25, #01-160, S654289"
354,HISEMAINN MEDICAL CLINIC (JURONG WEST),"276 Jurong West Street 25, #01-06, S640276"
355,HISEMAINN MEDICAL CLINIC (SIMS PLACE),"48 Sims Place, #01-167,S380048"
356,HK FAMILY CLINIC & SURGERY PTE LTD,"410 Ang Mo Kio Ave 10, #01-817, S560410"
357,HL CLINIC PTE LTD,"9 Telok Blangah Crescent, #01-135, S90009"
358,HL FAMILY CLINIC & SURGERY PTE LTD,"111 Jalan Bukit Merah, #01-1704, S160111"
359,HL FAMILY CLINIC & SURGERY(BEDOK) PTE LTD,"89 Bedok North Street 4, #01-83, S460089"
360,HO MEDICAL CENTRE PTE LTD,"352 Clementi Avenue 2, #01-115, S120352"
361,HO TONG CLINIC,"35 Circuit Road, #01-448, S370035"
362,HONG ASSOCIATES CLINIC,"111 Jln Bukit Merah, #01-1682, S160111"
363,HONG FAMILY CLINIC,"282 Tampines St 22, #01-300, S520282"
364,HONG'S CLINIC PEOPLE'S PARK CENTRE,"101 Upper Cross Street, #B1-37, People'S Park Centre, S58357"
365,HOPE FAMILY CLINIC AND SURGERY,"883 Woodlands St 82, #02-466A, Woodlands North Plaza, S730883"
366,HORIZON MEDICAL CENTRE,"200 Upper Thomson Road, #01-11, Thomson Imperial Court, S574424"
367,"HUA MEI CLINIC, WHAMPOA","300 Whampoa Drive, #02-06, S327737"
368,HUAN CLINIC,"51 Chin Swee Road, #03-111, S160051"
369,HUI CLINIC + SURGERY,"157 Ang Mo Kio Ave 4, #01-566, S560157"
370,I-HEALTH MEDICAL CLINIC,"30 Bendemeer Road, #01-883, S330030"
371,I.MEDICAL & I.AESTHETICS,"1 Northpoint Drive, #B1-176, Northpoint City, S768019"
372,ICARE MEDICAL AND WELLNESS CLINIC,"22 Havelock Road, #01-701, S160022"
373,ICON MEDICAL CLINIC,"517 Jurong West St 52, #01-101, S640517"
374,IDOC CLINIC,"21 Hougang Street 51, #01-43, S538719"
375,IDOC CLINIC (HONG KAH) PTE LTD,"502 Jurong West Avenue 1, #01-813, S640502"
376,INTEMEDICAL (KOVAN),"210 Hougang Street 21, #01-233, S530210"
377,INTEMEDICAL 24 HOUR CLINIC,"525 Ang Mo Kio Avenue 10, #01-2407"
378,ISLAND FAMILY CLINIC (ANCHORVALE),"338 Anchorvale Crescent, #01-02, S540338"
379,ISLAND FAMILY CLINIC (BEDOK),"763 Bedok Reservoir View, #01-283, S470763"
380,ISLAND FAMILY CLINIC (BUKIT BATOK),"447 Bukit Batok West Avenue 9, #01-05, S650447"
381,ISLAND FAMILY CLINIC (FERNVALE),"473A Fernvale Street, #01-03, S791473"
382,ISLAND FAMILY CLINIC (KEAT HONG),"803 Keat Hong Close, #01-04, S680803"
383,ISLAND FAMILY CLINIC (SENGKANG),"279 Sengkang East Avenue, #01-05, S540279"
384,ISLAND MEDICAL CLINIC,"55 Newton Road, #02-07, Revenue House, S307987"
385,JADE MEDICAL CLINIC PTE LTD,"8 Eu Tong Sen Street, #13-99, The Central Office Tower 1, S059818"
386,JAPAN CLINIC AND SURGERY,"802 French Rd, #01-55, S200802"
387,JIREH FAMILY CLINIC,"883 Woodlands Street 82, #02-468A, S730883"
388,JJ CLINIC & SURGERY,"107 Ang Mo Kio Avenue 4, #01-150, S560107"
389,JO-LIN FAMILY CLINIC & SURGERY,"533 Choa Chu Kang St 51, #01-29, Limbang Shopping Centre, S680533"
390,JOASH FAMILY CLINIC & SURGERY,"1030 Upper Serangoon Road, S534767"
391,JOY CLINIC AND SURGERY,"844 Yishun St 81, #01-164, S760844"
392,JOY FAMILY CLINIC,"703 Bedok Reservoir Road, #01-3506, S470703"
393,JOYHEALTH MEDICAL CLINIC & SURGERY,"825 Tampines Street 81, #01-50, S520825"
394,JOYSPRING FAMILY CLINIC,"133 Ang Mo Kio Ave 3, #01-1643, S560133"
395,JUBILEE FAMILY PHYSICIANS,"258 Pasir Ris St 21, #02-16, S510258"
396,JURONG EAST CLINIC,"114 Jurong East St 13, #01-406, S600114"
397,JW CORPORATION CLINIC PTE LTD,"507 Jurong West Street 52, #01-156, S640507"
398,K L TAY CLINIC & SURGERY,"632 Bedok Reservoir Rd, #01-822, S470632"
399,K N CHIN & ASSOCIATES PTE LTD,"24 Raffles Place, #02-18, Clifford Centre, S048621"
400,K N CHIN & ASSOCIATES PTE LTD MEDICAL PRACTICE,"3 Temasek Boulevard, #02-400, Suntec City Mall, S38983"
401,K. B. TAN CLINIC & LASER SURGERY,"625 Elias Rd, #01-310, Elias Mall, S510625"
402,K2 MEDICAL CLINIC,"248 Simei Street 3, #01-128, Multi Storey Car Park, S520248"
403,KAI MEDICAL CLINIC,"5 Tampines Street 32, #02-05, Tampines Mart, S529284"
404,KANG AN CLINIC PTE LTD,"644 Bt Batok Central, #01-70, S650644"
405,KAO & TAN FAMILY MEDICAL CENTRE & SURGERY PTE LTD,"18 Jalan Membina, #02-03, Tiong Bahru Court, S164018"
406,KARRI FAMILY CLINIC,"866A Tampines St 83, #03-05, Tampines Central Community Complex, S521866"
407,KATONG FAMILY CLINIC PTE LTD,"263 Tanjong Katong Road, #01-03, Suites@ Katong, S437050"
408,KCS MEDICAL CENTRE PTE LTD,"515 Bedok North Ave 2, #01-205, S460515"
409,KEAT HONG FAMILY MEDICINE CLINIC,"2 Choa Chu Kang Loop, #03-02, Keat Hong Community Club, S689687"
410,KENNETH LOO FAMILY CLINIC,"152 Bishan St 11, #01-215, S570152"
411,KENNETH TAN MEDICAL CLINIC,"658 Punggol East, #01-07, S820658"
412,KEPPEL MEDICAL GROUP,"9 Telok Blangah Crescent, #01-139, S90009"
413,KHOO CLINIC & SURGERY,"998 Upper Serangoon Rd, S534737"
414,KI MEDICAL CLINIC,"416 Ang Mo Kio Avenue 10, #01-975, S560416"
415,KL NG MEDICAL CLINIC PTE LTD,"1 Jalan Bukit Merah, #01-4530, S150001"
416,KO FAMILY CLINIC,"18 Upper Boon Keng Road, #01-1133, S380018"
417,L & H POLYCLINIC AND SURGERY,"59 Lengkok Bahru, #01-543, S150059"
418,L & L FAMILY MEDICINE CLINIC,"6 Sin Ming Road, #01-07, Sin Ming Plaza Tower 2, S575585"
419,LAI MEDICAL CLINIC PTE LTD,"213 Bt Batok St 21, #01-209, S650213"
420,LAKESIDE FAMILY MEDICINE CLINIC,"518A Jurong West Street 52, #01-02, S641518"
421,LC CLINIC MEDICAL SURGERY AESTHETICS,"446 Clementi Avenue 3, #01-191, S120446"
422,LEE & KOH FAMILY CLINIC,"359 Bukit Batok St 31, #01-389, S650359"
423,LEE & TAN FAMILY CLINIC AND SURGERY,"72 Circuit Rd, #01-03, S370072"
424,LEE CLINIC,"123 Bedok North St 2, #01-156, S460123"
425,LEE FAMILY CLINIC PTE. LTD.,"762 Jurong West Street 75, #02-262, Gek Poh Shopping Centre, S640762"
426,LEONG CLINIC,"63B Lengkok Bahru, #01-366, S152063"
427,LER CLINIC & SURGERY,"835 Tampines St 83, #01-10, S520835"
428,LIAN CLINIC,"18 Marsiling Lane, #01-269, S730018"
429,LIANG CLINIC,"55 Siglap Road, #B1-15/16, Siglap Centre, S455871"
430,LIFE FAMILY CLINIC,"713 Ang Mo Kio Ave 6, #01-4052, S560713"
431,LIFE FAMILY CLINIC,"10 Choa Chu Kang Avenue 4, #01-28/29, Choa Chu Kang Mrt Station, S689810"
432,LIFE-LINK CLINIC & SURGERY,"446 Pasir Ris Dr 6, #01-120, S510446"
433,LIFECARE FAMILY CLINIC,"524A Jelapang Road, #02-15, Greenridge Shopping Centre, S671524"
434,LIFECARE MEDICAL CENTRE,"36 Circuit Road, #01-416, S370036"
435,LIFELINE BUKIT PANJANG MEDICAL CLINIC,"103 Gangsa Road, #01-37, S670103"
436,LIFELINE MEDICAL GROUP,"118 Rivervale Drive, #02-18, Rivervale Plaza, S540118"
437,LIFELINE PUNGGOL MEDICAL CLINIC PTE LTD,"198 Punggol Field, #02-03, S820198"
438,LIFELINE YISHUN RING MEDICAL CLINIC,"846 Yishun Ring Road, #01-3615, S760846"
439,LIFELINK SN CLINIC & SURGERY,"153 Serangoon North Avenue 1, #01-534, S550153"
440,LILY AW PASIR RIS FAMILY CLINIC & SURGERY,"446 Pasir Ris Dr 6, #01-116, S510446"
441,LILY NEO CLINIC PTE LTD,"101 Irrawaddy Road, #21-09, Royal Square Medical Suites @ Novena, S329565"
442,LIM CLINIC,"295 Changi Road, S419773"
443,LIM CLINIC,"446 Ang Mo Kio Ave10, #01-1663, S560446"
444,LIM CLINIC & SURGERY,"20 Chai Chee Road, #01-418/420, S461020"
445,LIM CLINIC & SURGERY,"109 Toa Payoh Lor 1, #01-312, S310109"
446,LIM COUNTRY CLINIC,"208 Hougang St 21, #01-207, S530208"
447,LIN & SONS CLINIC & SURGERY PTE LTD,"18 Teck Whye Lane, #01-97, S680018"
448,LITTLE CROSS FAMILY CLINIC PTE LTD,"929 Tampines St 91, #01-445, S520929"
449,LIVEWELL MEDICAL FAMILY CLINIC,"20 Ah Hood Road, #01-08, Zhongshan Mall, S329984"
450,LO & LEE CLINIC & SURGERY,"134 Lorong Ah Soo, #01-462, S530134"
451,LONDON (MH) CLINIC & SURGERY,"104 Hougang Ave 1, #01-1123, S530104"
452,LOW & LEE CLINIC & SURGERY,"55 Chai Chee Dr, #01-202, S460055"
453,LOW MEDICAL CLINIC,"67 Kallang Bahru, #01-447, S330067"
454,LUSUMU FAMILY CLINIC,"530 Bedok North St 3, #01-638, S460530"
455,M LAM CLINIC,"739 Geylang Road, S389649"
456,MACPHERSON MEDICAL CLINIC,"78 Circuit Road, #01-488, S370078"
457,MAKE-WELL FAMILY CLINIC & SURGERY,"70 Lorong 4 Toa Payoh, #01-351, S310070"
458,MANDARIN MEDICAL CENTRE,"66 Jln Jurong Kechil, Jk Building, S598586"
459,MANHATTAN MEDICAL CENTRE,"151 Chin Swee Road, #01-10/11/12, Manhattan House, S169876"
460,MARINE PARADE CLINIC,"59 Marine Terrace, #01-81, S440059"
461,MARINE TERRACE FAMILY CLINIC,"57 Marine Terrace, #01-129, S440057"
462,MAY MEDICAL CLINIC & SURGERY PTE LTD,"41 Holland Drive, #01-19, S270041"
463,MAYFAIR MEDICAL CLINIC,"182 Woodlands Street 13, #01-04, S730182"
464,MAYSPRINGS FAMILY CLINIC,"2 Petir Road, #01-14, Maysprings, S678265"
465,MEDI CLINIC,"2 Jalan Kukoh, #01-149, S163002"
466,MEDI HEALTHCARE CLINIC (PUNGGOL),"218 Sumang Walk, #01-02, S820218"
467,MEDICAL AND DENTAL CENTRE @ COMMONWEALTH,"88 Tanglin Halt Road, #01-03, Multi Storey Car Park, S141088"
468,MEDICARE ASSOCIATES,"482 Tampines Ave 9 St 43, #01-236, S520482"
469,MEDICO CLINIC & SURGERY,"249 Jurong East Street 24, #01-88, S600249"
470,MEDIHEALTH BISHAN CLINIC & SURGERY,"121 Bishan St 12, #01-95, S570121"
471,MEDINA MEDICAL CENTRE,"479 Tampines Street 44, #01-231, S520479"
472,MEDIPOINT MEDICAL CENTRE (PONGGOL BRANCH),"401 Hougang Ave 10, #01-1170, S530401"
473,MEDIPOINT MEDICAL CENTRE (WOODLANDS BRANCH),"548 Woodlands Dr 44, #02-24, Vista Point, S730548"
474,MEDIVALE MEDICAL CLINIC,"236 Yishun Ring Road, #01-1012, Yishun Hearts, S760236"
475,MEDIVENE CLINIC & SURGERY,"330 Anchorvale Street, #01-05, S540330"
476,MEDIVIEW CLINIC AND SURGERY,"150 Toa Payoh Lorong 1, #01-999, S310150"
477,MEDLIFE CLINIC & SURGERY,"684 Hougang Avenue 8, #01-985, S530684"
478,MEI LING CLINIC,"158 Mei Ling St, #01-80, S140158"
479,MEI LING CLINIC (TOA PAYOH),"500 Lor 6 Toa Payoh, #04-33, Biz One Hdb Hub, S310500"
480,MERIDIAN MEDICAL AND DENTAL CENTRE,"327 Hougang Ave 5, #01-162, S530327"
481,MERIDIAN MEDICAL CENTRE,"108 Depot Road, #01-10, Depot Heights Shopping Centre, S100108"
482,MHC FAMILY CLINIC (ANG MO KIO),"452 Ang Mo Kio Ave 10, #01-1789, S560452"
483,MILLENNIUM MEDICAL GROUP,"849 Woodlands St 82, #01-215, S730849"
484,MILLENNIUM MEDICAL GROUP,"533 Choa Chu Kang St 51, #01-33, S680533"
485,MINMED CLINIC (HAIG ROAD),"30 Haig Rd, S438737"
486,MINMED CLINIC (JURONG EAST),"50 Jurong Gateway Road, #04-17, Jem, S608549"
487,MINMED CLINIC (PASIR RIS),"1 Pasir Ris Central Street 3, #05-08/09, White Sands, S518457"
488,MINMED CLINIC (PUNGGOL),"83 Punggol Central, #02-15, Waterway Point, S828761"
489,MINMED CLINIC (SENGKANG),"1 Sengkang Square, #04-13, Compass One, S545078"
490,MINMED CLINIC (YISHUN),"1 Northpoint Drive, #02-153, Northpoint City, S768019"
491,MINMED HEALTH SCREENERS,"290 Orchard Road, #16-04/09/10, Paragon, S238859"
492,MISSION (BUKIT BATOK) MEDICAL CLINIC,"395A Bukit Batok West Ave 5, #03-02, S651395"
493,MISSION (HOUGANG) MEDICAL CLINIC,"356 Hougang Ave 7, #01-799, S530356"
494,MISSION CROSS FAMILY CLINIC,"348 Yishun Avenue 11, #01-03, S760348"
495,MISSION MEDICAL CLINIC,"780 Upper Serangoon Road, #01-01, S534649"
496,MUTUAL HEALTHCARE MEDICAL CLINIC,"205A Compassvale Lane, #01-53, S541205"
497,MUTUAL HEALTHCARE MEDICAL CLINIC,"319B Anchorvale Dr, #01-92, S542319"
498,MUTUAL HEALTHCARE MEDICAL CLINIC,"106A Punggol Field, #01-546, S821106"
499,MY CLINIC,"9 King Albert Park, #01-50, Kap, S598332"
500,MY DOCTOR @ LAKESIDE,"201 Boon Lay Way, #01-05, Lakeside Mrt Station, S649845"
501,MY DOCTOR'S PLACE PTE LTD,"218 Bedok North Street 1, #01-41, S460218"
502,MY FAMILY CLINIC (ANCHORVALE),"326A Anchorvale Road, #01-260, S541326"
503,MY FAMILY CLINIC (ANGSANA BREEZE @ YISHUN),"507 Yishun Avenue 4, #01-05, S760507"
504,MY FAMILY CLINIC (CHOA CHU KANG),"475 Choa Chu Kang Ave 3, #02-01, Sunshine Place, S680475"
505,MY FAMILY CLINIC (CLEMENTI 325) PTE LTD,"325 Clementi Ave 5, #01-139, S120325"
506,MY FAMILY CLINIC (CLEMENTI),"420A Clementi Avenue 1, #01-05, Casa Clementi, S121420"
507,MY FAMILY CLINIC (HOUGANG CENTRAL),"804 Hougang Central, #01-118, S530804"
508,MY FAMILY CLINIC (PIONEER),"638 Jurong West St 61, #02-09, Pioneer Mall, S640638"
509,MY FAMILY CLINIC (PUNGGOL CENTRAL),"301 Punggol Central, #01-02, S820301"
510,MY FAMILY CLINIC (RIVERVALE),"11 Rivervale Crescent, #02-11A, Rivervale Mall, S545082"
511,MY FAMILY CLINIC (SEGAR),"485 Segar Road, #01-508, S670485"
512,MY FAMILY CLINIC (SENJA),"628 Senja Road, #01-04, S670628"
513,MY FAMILY CLINIC (ST GEORGE),"2 St. George'S Road, S328023"
514,MY FAMILY CLINIC (TANGLIN HALT),"46-2 Commonwealth Drive, #01-372, S140462"
515,MY FAMILY CLINIC (TOA PAYOH CENTRAL),"79D Toa Payoh Central, #01-53, S314079"
516,MY FAMILY CLINIC (WOODLANDS GLEN),"573 Woodlands Drive 16, #01-09, S730573"
517,MY FAMILY CLINIC (WOODLANDS),"768 Woodlands Ave 6, #02-07, Woodlands Mart, S730768"
518,MYDOCTOR@ADMIRALTY PTE LTD,"693 Woodlands Avenue 6, #01-03, S730693"
519,MYHEALTH MEDICAL CENTRE,"501 West Coast Drive, #01-256, S120501"
520,NATIONAL CLINIC,"352 Clementi Ave 2, #01-119, S120352"
521,NCS MEDICAL CLINIC,"5 Ang Mo Kio Street 62, Blk A, #01-10, Ncs Hub, S569141"
522,NEECARE MEDICAL CENTRE,"371 Bukit Batok Street 31, #01-320, S650371"
523,NEIGHBOURHOOD MEDICAL CLINIC,"683 Hougang Ave 8, #01-901, S530683"
524,NEO CLINIC & SURGERY,"257 Bangkit Road, #01-45, S670257"
525,NEO MEDICAL CENTRE,"120 Potong Pasir Ave 1, #01-818, S350120"
526,NEOH & ONG MEDICAL CLINIC,"2A Eunos Crescent, #01-2447, S401002"
527,NEPTUNE HEALTHCARE MEDICAL & SURGERY,"328 Tampines Street 32, #01-362, S520328"
528,NEW HEALTH FAMILY CLINIC PTE LTD,"108 Depot Road, #01-08, S100108"
529,NEW TOWN CLINIC PTE LTD,"59 New Upper Changi Road, #01-1224, S461059"
530,NEWCASTLE CLINIC,"541 Orchard Road, #18-02A, Liat Towers, S238881"
531,NEWEST MEDICAL AND LASER CLINIC PTE LTD,"1 West Coast Drive, #01-49/50, Newest, S128020"
532,NEWLIFE FAMILY CLINIC & SURGERY,"61 Teban Gardens Road, #01-20, S600061"
533,NORTHEAST MEDICAL GROUP,"22 Malacca Street, #13-03, Rb Capital Building, S048980"
534,NORTHEAST MEDICAL GROUP,"25 Ghim Moh Link, #01-10, S270025"
535,NORTHEAST MEDICAL GROUP,"531 Bedok North St 3, #01-692, S460531"
536,NORTHEAST MEDICAL GROUP,"20 Tampines Central 1, #01-25, Tampines Mrt Station, S529538"
537,NORTHEAST MEDICAL GROUP,"30 Simei Street 3, #02-01, Simei Mrt Station, S529888"
538,NORTHEAST MEDICAL GROUP,"5 Sengkang Square, #01-05, S545062"
539,NORTHEAST MEDICAL GROUP,"2450 Ang Mo Kio Avenue 8, #01-02, Ang Mo Kio Mrt Station, S569811"
540,NORTHEAST MEDICAL GROUP,"10 Bukit Batok Central, #01-01, Bukit Batok Mrt Station, S659958"
541,NORTHEAST MEDICAL GROUP,"39 Jalan Tiga, #01-01, S390039"
542,NORTHLAND FAMILY CLINIC & SURGERY,"640 Yishun St 61, #01-198, S760640"
543,NORWOOD MEDICAL CLINIC,"785E Woodlands Rise, #01-02, S735785"
544,NOVENA MEDICAL CENTER FAMILY CLINIC,"10 Sinaran Drive, #11-19, Square 2, S307506"
545,NUHEALTH MEDICAL CENTRE,"1 Woodlands Road, #01-23, Junction 10, S677899"
546,NYAM FAMILY CLINIC,"296 Bedok Road, Bedok Shopping Complex, S469452"
547,OASIS FAMILY CLINIC,"56 New Upper Changi Road, #01-1322, S461056"
548,OC MEDICAL RAFFLES PLACE,"1 Raffles Place, #05-15/16, S048616"
549,OEI & KHO CLINIC AND SURGERY,"18 Lorong 7 Toa Payoh, #01-250, S310018"
550,OGL MEDICAL CENTERS,"10 Sinaran Drive, #10-31, Square 2, S307506"
551,ONE MEDICAL CLINIC,"728 Jurong West Avenue 5, #01-K1, S640728"
552,ONECARE CLINIC ALJUNIED MRT,"81 Lorong 25 Geylang, #01-03, Aljunied Mrt Station, S388310"
553,ONECARE CLINIC BEDOK MRT,"315 New Upper Changi Road, #01-01, Bedok Mrt Station, S467347"
554,ONECARE CLINIC BOON LAY,"221 Boon Lay Place, #01-152, Boon Lay Shopping Centre, S640221"
555,ONECARE CLINIC BUKIT BATOK,"630 Bukit Batok Central, #01-148, S650630"
556,ONECARE CLINIC BUKIT GOMBAK MRT,"802 Bukit Batok West Avenue 5, #01-16, S659083"
557,ONECARE CLINIC BUKIT PANJANG,"547 Segar Road, #01-05, Multi Storey Car Park, S670547"
558,ONECARE CLINIC CANBERRA,"105 Canberra Street, #01-09, S750105"
559,ONECARE CLINIC CHOA CHU KANG,"810 Choa Chu Kang Avenue 7, #01-09, Multi Storey Car Park, S680810"
560,ONECARE CLINIC CLEMENTI,"449 Clementi Avenue 3, #01-241, S120449"
561,ONECARE CLINIC FERNVALE,"417 Fernvale Link, #01-10, S790417"
562,ONECARE CLINIC HOUGANG,"104 Hougang Avenue 1, #01-1125, S530104"
563,ONECARE CLINIC HOUGANG AVE 8,"681 Hougang Avenue 8, #01-835, S530681"
564,ONECARE CLINIC LOYANG,"258 Pasir Ris Street 21, #02-14, Loyang Point, S510258"
565,ONECARE CLINIC MARINE PARADE,"81 Marine Parade Central, #01-644, S440081"
566,ONECARE CLINIC PUNGGOL PLAZA,"168 Punggol Feild, #01-09, S820168"
567,ONECARE CLINIC TAMPINES,"827 Tampines Street 81, #01-142, S520827"
568,ONECARE CLINIC TAMPINES MRT,"20 Tampines Central 1, #01-27, S529538"
569,ONECARE CLINIC TIONG BAHRU,"11A Boon Tiong Road, #01-08, S161011"
570,ONECARE CLINIC WOODLANDS,"04 Woodlands Street 12, #02-57, S738623"
571,ONECARE CLINIC YISHUN,"431 Yishun Avenue 1, #01-04, Multi Storey Car Park, S760431"
572,ONEDOCTORS FAMILY CLINIC,"253 Holland Avenue, #02-01, Holland Village, S278982"
573,ONEDOCTORS FAMILY CLINIC,"710 Ang Mo Kio Avenue 8, #01-2613, S560710"
574,ONEDOCTORS FAMILY CLINIC,"846 Yishun Ring Road, #01-3611, Yishun New Town, S760846"
575,ONEDOCTORS FAMILY CLINIC,"83 Punggol Central, #02-17, Waterway Point, S828761"
576,ONEDOCTORS MEDICAL CENTRE,"23 Serangoon Central, #01-54/55, Nex, S556083"
577,ONG CLINIC & SURGERY (YISHUN),"293 Yishun Street 22, #01-223, S760293"
578,ONG CLINIC & SURGERY PTE LTD,"265 Bukit Batok East Ave 4, #01-387, S650265"
579,ONG MEDICAL CLINIC,"316B Ang Mo Kio St 31, #01-10, S563316"
580,ONG'S CLINIC,"175 Bencoolen St, #01-44, Burlington Square, S189649"
581,ORCHARD GROUP CLINIC,"545 Orchard Rd, #12-04/04A, Far East Shopping Centre, S238882"
582,OUR FAMILY CLINIC & SURGERY PTE LTD,"8 Jln Batu, #01-15, S431008"
583,OUR FAMILY PHYSICIAN CLINIC & SURGERY,"829 Tampines St 81, #01-292, S520829"
584,P TAN FAMILY MEDICINE CLINIC,"503 Bishan Street 11, #01-464, S570503"
585,P.K. ANG FAMILY CLINIC & SURGERY,"106 Hougang Avenue 1, #01-1225, S530106"
586,PACIFIC FAMILY CLINIC,"75D Redhill Road, #01-116, S154075"
